,DrugA,DrugB
4882,Diazepam,Ethanol
4883,Buspirone,Benzquinamide
4884,Ritonavir,Tocilizumab
4885,Mestranol,Vildagliptin
4886,Metamfetamine,Abiraterone
4887,Bendroflumethiazide,Nalbuphine
4888,Bendroflumethiazide,Fludrocortisone
4889,Leuprolide,Tamoxifen
4890,Clozapine,Belinostat
4891,Heparin,Desirudin
4892,Thioridazine,Terbinafine
4893,Prazosin,Nifedipine
4894,Doxylamine,Quetiapine
4895,Pentobarbital,Ethanol
4896,Dicoumarol,Propafenone
4897,Nelfinavir,Parecoxib
4898,Felodipine,Itraconazole
4899,Ticlopidine,Nortriptyline
4900,Bupropion,Crizotinib
4901,Phenobarbital,Boceprevir
4902,Naproxen,Dexketoprofen
4903,Phenmetrazine,Aminophylline
4904,Dimenhydrinate,Paraldehyde
4905,Pamidronic acid,Pomalidomide
4906,Flibanserin,Dienogest
4907,Atomoxetine,Orciprenaline
4908,Amitriptyline,Pramlintide
4909,Leuprolide,Tizanidine
4910,Phenobarbital,Tetracosactide
4911,Anistreplase,Sulindac
4912,Secobarbital,Dienogest
4913,Mesoridazine,Promethazine
4914,Isoniazid,Dexamethasone
4915,Dasatinib,Ceritinib
4916,Baclofen,Sevoflurane
4917,Protriptyline,Methylphenidate
4918,Desvenlafaxine,Ibrutinib
4919,Cyproheptadine,Escitalopram
4920,Belimumab,Basil
4921,Oxycodone,Saquinavir
4922,Omeprazole,Lumacaftor
4923,Diphenhydramine,Mirabegron
4924,Olopatadine,Tiotropium
4925,Mannitol,Amifostine
4926,Streptomycin,Cefuroxime
4927,Clotrimazole,Flibanserin
4928,Dronedarone,Dabrafenib
4929,Metformin,Mestranol
4930,Flupentixol,Pramlintide
4931,Flurbiprofen,Tipranavir
4932,Warfarin,Prednisolone
4933,Mifepristone,Glyburide
4934,Venlafaxine,Aripiprazole
4935,Nimodipine,Lurasidone
4936,Roflumilast,Certolizumab pegol
4937,Clozapine,Tofisopam
4938,Levonorgestrel,Butobarbital
4939,Quinidine,Posaconazole
4940,Zolpidem,Fluphenazine
4941,Gefitinib,Primidone
4942,Brimonidine,Mecamylamine
4943,Mifepristone,Maraviroc
4944,Nefazodone,Quetiapine
4945,Aldesleukin,Irbesartan
4946,Nimodipine,Silodosin
4947,Spectinomycin,Cefprozil
4948,Insulin aspart,Fosamprenavir
4949,,Alogliptin
4950,Benzatropine,Morphine
4951,,Trimipramine
4952,Framycetin,Piroxicam
4953,Fenoprofen,Rivaroxaban
4954,Simeprevir,Fosaprepitant
4955,Bupivacaine,Acebutolol
4956,Indomethacin,Omega-3 fatty acids
4957,Doxycycline,Calcium carbonate
4958,Felbamate,St. John's Wort
4959,Methotrexate,Ibuprofen
4960,Oxycodone,Ivacaftor
4961,Diethylpropion,Moclobemide
4962,Itraconazole,Everolimus
4963,Aripiprazole,Tocilizumab
4964,Ulipristal,Siltuximab
4965,Irbesartan,Aripiprazole
4966,Paroxetine,Clidinium
4967,Cyclosporine,Armodafinil
4968,Fluticasone propionate,Isoprenaline
4969,Eslicarbazepine acetate,Rolapitant
4970,Anistreplase,Paroxetine
4971,Sucralfate,Ketoconazole
4972,Lithium cation,Floctafenine
4973,Disopyramide,Fingolimod
4974,Ethoxzolamide,Levorphanol
4975,Tocilizumab,Ibrutinib
4976,Butalbital,Nicardipine
4977,Linezolid,Clenbuterol
4978,Baclofen,Iloperidone
4979,Ethoxzolamide,Carbamazepine
4980,Thioridazine,Mirabegron
4981,Methotrimeprazine,Phendimetrazine
4982,Botulinum Toxin Type B,Tobramycin
4983,Midodrine,Dexmethylphenidate
4984,Captopril,Icatibant
4985,Duloxetine,Nitroglycerin
4986,Prazosin,Bisoprolol
4987,Fluphenazine,Suvorexant
4988,Pimozide,Lurasidone
4989,Trimethoprim,Siltuximab
4990,Gentamicin,Meloxicam
4991,Chlorzoxazone,Brimonidine
4992,Tipranavir,Rivaroxaban
4993,Mannitol,Heptabarbital
4994,Pramipexole,Cyclizine
4995,Cyproheptadine,Itopride
4996,Felodipine,Netupitant
4997,Prednisolone,Insulin glulisine
4998,Fenofibrate,Ciprofibrate
4999,Prochlorperazine,Amoxapine
5000,Fosphenytoin,Fludiazepam
5001,Gliclazide,Danazol
5002,Methadone,Ivacaftor
5003,Triamterene,Hydrocodone
5004,Ethanol,Acenocoumarol
5005,Aprepitant,Cabozantinib
5006,Torasemide,Kanamycin
5007,Goserelin,Oxytocin
5008,Dobutamine,Doxofylline
5009,Probenecid,Ofloxacin
5010,Acebutolol,Aminophylline
5011,Digoxin,Lenalidomide
5012,Eltrombopag,Deferiprone
5013,Ergotamine,Clarithromycin
5014,Promethazine,Thiothixene
5015,Aminophylline,Fenoterol
5016,Fentanyl,Naphazoline
5017,Doxylamine,Droperidol
5018,Amiodarone,Fingolimod
5019,Aminosalicylic acid,Dicoumarol
5020,Diltiazem,Prazosin
5021,Brimonidine,Amoxapine
5022,Paroxetine,Metoclopramide
5023,Codeine,Paroxetine
5024,Medroxyprogesterone acetate,Oxcarbazepine
5025,Olmesartan,Yohimbine
5026,Venlafaxine,Sertindole
5027,Azilsartan medoxomil,Obinutuzumab
5028,Ritonavir,Rivaroxaban
5029,Lopinavir,
5030,Tirofiban,Glucosamine
5031,Imipramine,Suvorexant
5032,Fludrocortisone,Leflunomide
5033,Tolbutamide,Metreleptin
5034,Paroxetine,Chlorpheniramine
5035,Fondaparinux,Vorapaxar
5036,Norgestimate,Saxagliptin
5037,Penbutolol,Tofacitinib
5038,Methohexital,Dapagliflozin
5039,Succinylcholine,Fentanyl
5040,Dicyclomine,Itopride
5041,Citalopram,Sertindole
5042,Ivacaftor,Stiripentol
5043,Tamsulosin,Amrinone
5044,Chlordiazepoxide,Azelastine
5045,Dronabinol,Chlorphentermine
5046,Paroxetine,Diphenoxylate
5047,Telmisartan,Moxonidine
5048,Bleomycin,Tacrolimus
5049,Insulin lispro,Furosemide
5050,Amisulpride,Vilazodone
5051,Fluconazole,Suvorexant
5052,Verapamil,Salmeterol
5053,Piroxicam,Ceritinib
5054,Imatinib,Ivabradine
5055,Pranlukast,Ceritinib
5056,Natalizumab,Fingolimod
5057,Icosapent,Ibuprofen
5058,Tioguanine,Clozapine
5059,Medroxyprogesterone acetate,Atazanavir
5060,Insulin human,Aminosalicylic acid
5061,Minocycline,Desipramine
5062,Hyaluronidase (ovine),Ephedrine
5063,Paroxetine,Sodium oxybate
5064,Phenobarbital,Elvitegravir
5065,Phenobarbital,Etravirine
5066,Pentobarbital,Guanfacine
5067,Octreotide,Insulin detemir
5068,Mefloquine,Methylphenobarbital
5069,Alfuzosin,Boceprevir
5070,Nefazodone,Tofacitinib
5071,Amoxapine,Mifepristone
5072,Norepinephrine,Propylhexedrine
5073,Cisatracurium,Clindamycin
5074,Maprotiline,Paliperidone
5075,Azelastine,Fosphenytoin
5076,Tenecteplase,Aprotinin
5077,Benazepril,Sodium aurothiomalate
5078,Ketoconazole,Rifapentine
5079,Clorazepic acid,Dabrafenib
5080,Nafcillin,Felodipine
5081,Fosinopril,Tizanidine
5082,Mitotane,Trazodone
5083,Metformin,Articaine
5084,Clonidine,Primidone
5085,Bosentan,Eltrombopag
5086,Diazepam,Buprenorphine
5087,Fludrocortisone,Trichlormethiazide
5088,Alfuzosin,Tadalafil
5089,Brimonidine,Suvorexant
5090,Chloroquine,Oxibendazole
5091,Methohexital,Carvedilol
5092,Acebutolol,Dexmethylphenidate
5093,Citalopram,Propafenone
5094,Etonogestrel,Methohexital
5095,Nisoldipine,Calcium carbonate
5096,Pentamidine,Mifepristone
5097,Clotrimazole,Aripiprazole
5098,Nitric Oxide,Flutamide
5099,Brimonidine,Cilazapril
5100,Butabarbital,Minocycline
5101,Pramipexole,Fentanyl
5102,Ziprasidone,Doxylamine
5103,Nefazodone,Acepromazine
5104,Celecoxib,Probenecid
5105,Tositumomab,Heparin
5106,Atazanavir,Temsirolimus
5107,Azelastine,Ramosetron
5108,Quinine,Nebivolol
5109,Fencamfamin,Phendimetrazine
5110,Cisapride,Bepridil
5111,Primidone,Dipyridamole
5112,Dihydroergotamine,Fosaprepitant
5113,Pregabalin,Mefloquine
5114,Lercanidipine,Clopidogrel
5115,Cyclopentolate,Pramlintide
5116,Ritonavir,Mitotane
5117,Methyclothiazide,Secobarbital
5118,Alfuzosin,Sotalol
5119,Suvorexant,Butylscopolamine
5120,Fosphenytoin,Flunarizine
5121,Colestipol,Atorvastatin
5122,Baclofen,Remifentanil
5123,Ethanol,Suvorexant
5124,Tetrabenazine,
5125,Eptifibatide,Warfarin
5126,Digoxin,Eplerenone
5127,Leuprolide,Mirabegron
5128,Ergotamine,Acepromazine
5129,Fluvoxamine,Chloroquine
5130,Progesterone,Rifaximin
5131,Dicoumarol,Cephalexin
5132,Labetalol,Cocaine
5133,Reserpine,Moclobemide
5134,Eplerenone,Dasatinib
5135,Methadone,Furosemide
5136,Butabarbital,Mannitol
5137,Dasatinib,Ibrutinib
5138,Paroxetine,Chlorothiazide
5139,Cyclizine,Eluxadoline
5140,Dronabinol,Zuclopenthixol
5141,Citalopram,Chlorpromazine
5142,,Methotrimeprazine
5143,Levorphanol,Hydrochlorothiazide
5144,Diltiazem,Mitotane
5145,Prochlorperazine,Naratriptan
5146,Metoprolol,Tadalafil
5147,Reteplase,Escitalopram
5148,Infliximab,Acebutolol
5149,Digoxin,Kaolin
5150,Torasemide,Sufentanil
5151,Fosinopril,Iron Dextran
5152,Carbamazepine,Flunarizine
5153,Modafinil,Naphazoline
5154,Frovatriptan,
5155,Procarbazine,Pizotifen
5156,Pimozide,Tapentadol
5157,Amlodipine,Mitotane
5158,Loratadine,Verapamil
5159,Ranibizumab,Belimumab
5160,Disopyramide,Tocilizumab
5161,Fosinopril,Nicorandil
5162,Propofol,Thalidomide
5163,Eplerenone,Nadroparin
5164,Streptokinase,Citalopram
5165,Conivaptan,Regorafenib
5166,Acetylsalicylic acid,Mecasermin
5167,Doxapram,Orciprenaline
5168,Nadroparin,
5169,Baclofen,Escitalopram
5170,Phenytoin,Methotrexate
5171,Prazosin,Terazosin
5172,Meperidine,Rasagiline
5173,Lovastatin,Deferasirox
5174,Phenylephrine,Cocaine
5175,Magnesium sulfate,Oxymorphone
5176,Nelfinavir,Vincristine
5177,Botulinum Toxin Type B,Trimethobenzamide
5178,Pyridoxine,Fosphenytoin
5179,Progesterone,Tinzaparin
5180,Morphine,Mannitol
5181,Clopidogrel,Ethyl biscoumacetate
5182,Zuclopenthixol,Tapentadol
5183,Axitinib,Enzalutamide
5184,Diazoxide,Gliquidone
5185,Ketorolac,Talniflumate
5186,Amikacin,Mezlocillin
5187,Posaconazole,Ivacaftor
5188,Paroxetine,Zaleplon
5189,Ranolazine,Loperamide
5190,Baclofen,Flupentixol
5191,Phenytoin,Mifepristone
5192,Cyclosporine,Isradipine
5193,Dexbrompheniramine,Brimonidine
5194,Lisdexamfetamine,Chlorphentermine
5195,Octreotide,Tetrabenazine
5196,Clarithromycin,Apixaban
5197,Pimozide,Enzalutamide
5198,Abacavir,Simeprevir
5199,Doxylamine,Cimetropium
5200,Telaprevir,Tasimelteon
5201,Tenecteplase,Acenocoumarol
5202,Amiodarone,Prucalopride
5203,Tramadol,Methotrimeprazine
5204,Mefloquine,Deferasirox
5205,Flunisolide,Enzalutamide
5206,Diethylstilbestrol,Entacapone
5207,Oxacillin,Probenecid
5208,Pregabalin,Thalidomide
5209,Ibritumomab tiuxetan,Etodolac
5210,Repaglinide,Lurasidone
5211,Vincristine,Mifepristone
5212,Mitotane,Panobinostat
5213,Chlorothiazide,Vildagliptin
5214,Botulinum toxin type A,Triprolidine
5215,Codeine,Diphenhydramine
5216,Flupentixol,Cimetropium
5217,Methocarbamol,Hydrocodone
5218,Eletriptan,Cobicistat
5219,Rosiglitazone,Chlorpropamide
5220,Insulin glargine,Arsenic trioxide
5221,Warfarin,Miconazole
5222,Nefazodone,Fencamfamin
5223,Clorazepic acid,Saquinavir
5224,Dantrolene,Luliconazole
5225,Nelfinavir,Suvorexant
5226,Erythromycin,Siltuximab
5227,Pentobarbital,Verapamil
5228,Interferon gamma-1b,Theophylline
5229,Ergotamine,Telaprevir
5230,Risperidone,Enalaprilat
5231,Cinacalcet,Vortioxetine
5232,Basiliximab,Leflunomide
5233,Methyclothiazide,Colesevelam
5234,Infliximab,Rivaroxaban
5235,,Cetirizine
5236,Minocycline,Vecuronium
5237,Acetophenazine,Rasagiline
5238,Bumetanide,Chlorpheniramine
5239,Chlorthalidone,Butobarbital
5240,Erythromycin,St. John's Wort
5241,Glimepiride,Cimetidine
5242,Isradipine,Netupitant
5243,Vincristine,Dronedarone
5244,Valsartan,Etodolac
5245,Spectinomycin,Ibuprofen
5246,Darunavir,Macitentan
5247,Vardenafil,Irbesartan
5248,Mitomycin,Pimecrolimus
5249,Irinotecan,Conivaptan
5250,Diltiazem,Regorafenib
5251,Voriconazole,Lumacaftor
5252,Amitriptyline,Linezolid
5253,Atorvastatin,Dabrafenib
5254,Fluphenazine,Donepezil
5255,Perhexiline,Calcium gluconate
5256,Felodipine,Aripiprazole
5257,Fluticasone propionate,Naphazoline
5258,Goserelin,Atazanavir
5259,Mycophenolic acid,Azlocillin
5260,Sugammadex,Apixaban
5261,Magnesium sulfate,Magnesium hydroxide
5262,Reteplase,Aminosalicylic acid
5263,Hydromorphone,Selegiline
5264,Oxycodone,Ethanol
5265,Imatinib,Phenobarbital
5266,Oxaprozin,Hydralazine
5267,Cyclosporine,Danazol
5268,Thioridazine,Magnesium oxide
5269,Pyrimethamine,Methotrimeprazine
5270,Torasemide,Digoxin
5271,Tositumomab,Anagrelide
5272,Bortezomib,Cilostazol
5273,Dicoumarol,Ifosfamide
5274,Methylphenidate,Cimetidine
5275,Trimipramine,Netupitant
5276,Felodipine,Molsidomine
5277,Deferasirox,Crizotinib
5278,Ethyl biscoumacetate,Nintedanib
5279,Vitamin E,Diflunisal
5280,Nelfinavir,Cobimetinib
5281,Ethoxzolamide,Pseudoephedrine
5282,Diltiazem,Atosiban
5283,Peginterferon alfa-2b,Cyclobenzaprine
5284,Doxycycline,Rifampicin
5285,Fluvoxamine,Bromazepam
5286,Estradiol,Exemestane
5287,Fluvoxamine,Fluoxetine
5288,Hydrocortamate,Ceritinib
5289,Cyclosporine,Telaprevir
5290,Valproic acid,Nortriptyline
5291,Trastuzumab,Ruxolitinib
5292,Erythromycin,Ifosfamide
5293,Aripiprazole,Alogliptin
5294,Acetaminophen,Naphazoline
5295,Armodafinil,Stiripentol
5296,Olanzapine,Desvenlafaxine
5297,Dasatinib,Sunitinib
5298,Brentuximab vedotin,Enzalutamide
5299,Estradiol,Insulin glulisine
5300,Tacrine,Prednisone
5301,Methadone,Sertindole
5302,Ramipril,Dapoxetine
5303,Nortriptyline,Thiothixene
5304,Fluphenazine,Aripiprazole
5305,Doxycycline,Meticillin
5306,Ciprofloxacin,Pentoxifylline
5307,Pramipexole,Phenobarbital
5308,Leuprolide,Olanzapine
5309,Nabumetone,Paroxetine
5310,Paroxetine,Methotrimeprazine
5311,Isoflurane,Mifepristone
5312,Protriptyline,Mesoridazine
5313,Dofetilide,Rilpivirine
5314,Clarithromycin,Etizolam
5315,Primidone,Amyl Nitrite
5316,Oxycodone,Metolazone
5317,Mesoridazine,Vilazodone
5318,Leuprolide,
5319,Sulindac,Trichlormethiazide
5320,Thioridazine,Ivabradine
5321,Risperidone,Isosorbide
5322,Gentamicin,Azlocillin
5323,Dronabinol,Amobarbital
5324,Propranolol,Moxonidine
5325,Metyrosine,Cyclobenzaprine
5326,Alitretinoin,Mifepristone
5327,Metyrosine,Levocetirizine
5328,Buprenorphine,Rufinamide
5329,Topiramate,Aclidinium
5330,Dexbrompheniramine,Azelastine
5331,Warfarin,Ginkgo biloba
5332,Reserpine,Clomipramine
5333,Brimonidine,Thalidomide
5334,Tositumomab,Sertraline
5335,Doxazosin,Levodopa
5336,Ramelteon,Tolbutamide
5337,Triamcinolone,Telaprevir
5338,Verapamil,Ivacaftor
5339,Ziprasidone,Ethanol
5340,Mirtazapine,Ketamine
5341,Phenobarbital,Ponatinib
5342,Tolcapone,Norepinephrine
5343,Dofetilide,Voriconazole
5344,Sildenafil,Capecitabine
5345,Nadolol,Hexobarbital
5346,Aldesleukin,Ioxilan
5347,Demeclocycline,Bismuth subsalicylate
5348,Treprostinil,Medroxyprogesterone acetate
5349,Bivalirudin,Nintedanib
5350,Quinapril,Iron Dextran
5351,Mifepristone,Gliclazide
5352,Verteporfin,Rostaporfin
5353,Phenindione,Mestranol
5354,Chlorotrianisene,Lenalidomide
5355,Pentosan polysulfate,Naproxen
5356,Bexarotene,Trabectedin
5357,Itraconazole,Cobicistat
5358,Mifepristone,Hydroxyprogesterone caproate
5359,Mexiletine,Vemurafenib
5360,Everolimus,Siltuximab
5361,Insulin glargine,Oxandrolone
5362,Tadalafil,Erythrityl tetranitrate
5363,Phenindione,Desvenlafaxine
5364,Lamotrigine,Magnesium citrate
5365,Morphine,Hyoscyamine
5366,Bupropion,Brexpiprazole
5367,Cefmenoxime,Probenecid
5368,Ipratropium,Clofedanol
5369,Phenindione,Diclofenac
5370,Bumetanide,Nicorandil
5371,Perampanel,Dienogest
5372,Amrinone,Magnesium hydroxide
5373,Sargramostim,Bleomycin
5374,Alprazolam,Teduglutide
5375,Phenprocoumon,Dasatinib
5376,Verapamil,Carfilzomib
5377,Midodrine,Selegiline
5378,Mannitol,Moxonidine
5379,Vinblastine,Aprepitant
5380,Rosiglitazone,Repaglinide
5381,Phentermine,Haloperidol
5382,Pimecrolimus,Doxorubicin
5383,Isradipine,Nicorandil
5384,Indinavir,Lapatinib
5385,Meperidine,Benzquinamide
5386,Acetylsalicylic acid,Levomilnacipran
5387,Darunavir,Ospemifene
5388,Acenocoumarol,Omega-3 fatty acids
5389,Tacrolimus,Nefazodone
5390,Promazine,Suvorexant
5391,Hydrocodone,Zopiclone
5392,Ketoconazole,Atorvastatin
5393,Clozapine,Nilotinib
5394,Nevirapine,Deferasirox
5395,Escitalopram,Zuclopenthixol
5396,Reserpine,Methotrimeprazine
5397,Griseofulvin,Methohexital
5398,Cilostazol,Eslicarbazepine acetate
5399,Topotecan,Clarithromycin
5400,Pregabalin,Moexipril
5401,Pentazocine,Hydrochlorothiazide
5402,Rifabutin,Sonidegib
5403,Goserelin,Eribulin
5404,Secobarbital,Carvedilol
5405,Lamotrigine,Voriconazole
5406,Denosumab,Pralatrexate
5407,Hydrocodone,Pioglitazone
5408,Nicotine,Amiodarone
5409,Imipramine,Iobenguane
5410,Octreotide,Bretylium
5411,Tolbutamide,Lurasidone
5412,Promazine,Verteporfin
5413,Ketoconazole,Ifosfamide
5414,Primidone,Nesiritide
5415,Bortezomib,Ethinylestradiol
5416,Desipramine,Boceprevir
5417,Roflumilast,Glatiramer
5418,Lidocaine,Stiripentol
5419,Citalopram,Luliconazole
5420,Rifampicin,Perhexiline
5421,Phenelzine,Propylhexedrine
5422,Nitrendipine,Pancuronium
5423,Epinephrine,Mephentermine
5424,Argatroban,Sulodexide
5425,Pentosan polysulfate,Ketoprofen
5426,Digoxin,Edrophonium
5427,Paroxetine,Gabapentin
5428,Phenprocoumon,Desirudin
5429,Ranolazine,Atorvastatin
5430,Amoxicillin,Picosulfuric acid
5431,Selegiline,Pizotifen
5432,Secobarbital,Papaverine
5433,Quinine,Ivabradine
5434,Isocarboxazid,Bezafibrate
5435,Propafenone,Stiripentol
5436,Voriconazole,Docetaxel
5437,Nortriptyline,Tranylcypromine
5438,Primidone,Penbutolol
5439,Botulinum Toxin Type B,Glycopyrronium
5440,Haloperidol,Fentanyl
5441,Celecoxib,Doxorubicin
5442,Rituximab,Moexipril
5443,Tositumomab,Natalizumab
5444,Axitinib,Luliconazole
5445,Arformoterol,Naphazoline
5446,Torasemide,Pancuronium
5447,Tolazamide,Miconazole
5448,Nelfinavir,Solifenacin
5449,Probenecid,Glycerol phenylbutyrate
5450,Procarbazine,Sertindole
5451,Everolimus,Saxagliptin
5452,Clemastine,Perampanel
5453,Pentosan polysulfate,Edetic acid
5454,Aripiprazole,Fusidic acid
5455,Prazosin,Dapoxetine
5456,Atazanavir,
5457,Cyclosporine,Triamterene
5458,Etonogestrel,Voriconazole
5459,Haloperidol,Nortriptyline
5460,Rosuvastatin,Fusidic acid
5461,Nisoldipine,Magnesium salicylate
5462,Thioridazine,Desipramine
5463,Docetaxel,Dabrafenib
5464,Diethylpropion,Tedizolid phosphate
5465,Verteporfin,Bicalutamide
5466,Isoflurophate,Nefazodone
5467,Fluvoxamine,Primaquine
5468,Pravastatin,Dicoumarol
5469,Atomoxetine,Metaraminol
5470,Levonorgestrel,Cobicistat
5471,Cilostazol,Boceprevir
5472,Oxycodone,Selegiline
5473,Medroxyprogesterone acetate,Clarithromycin
5474,Eliglustat,Cobicistat
5475,Droperidol,Desflurane
5476,Fludrocortisone,Isoniazid
5477,Pantoprazole,Cefditoren
5478,Doxepin,Suvorexant
5479,Anagrelide,Limaprost
5480,Haloperidol,Nebivolol
5481,Simvastatin,Darunavir
5482,Buspirone,Dabrafenib
5483,St. John's Wort,Mestranol
5484,Epinephrine,Chlorpropamide
5485,Dopamine,Olodaterol
5486,Ergocalciferol,Danazol
5487,Terazosin,Levodopa
5488,Amlodipine,Tranylcypromine
5489,Ethoxzolamide,Codeine
5490,Botulinum Toxin Type B,Doxepin
5491,Mitotane,Cannabidiol
5492,Conivaptan,Cyproterone acetate
5493,Denosumab,Blinatumomab
5494,Erythromycin,Simeprevir
5495,Betamethasone,Aprepitant
5496,Labetalol,Vardenafil
5497,Epoprostenol,Ethyl biscoumacetate
5498,Ixabepilone,Cobicistat
5499,Rifabutin,Panobinostat
5500,Dipivefrin,Sotalol
5501,Natalizumab,Pomalidomide
5502,Duloxetine,Tranylcypromine
5503,Protriptyline,Methylene blue
5504,Sulfisoxazole,Insulin detemir
5505,Lenalidomide,Sipuleucel-T
5506,Escitalopram,Simeprevir
5507,Ciprofloxacin,Saquinavir
5508,Succinylcholine,Methadone
5509,Melphalan,Tofacitinib
5510,Yohimbine,Clevidipine
5511,Imipramine,Ondansetron
5512,Reteplase,Meloxicam
5513,Bortezomib,Nefazodone
5514,Methohexital,Orphenadrine
5515,Clonidine,Tadalafil
5516,Piroxicam,Dabigatran etexilate
5517,Nelfinavir,Silodosin
5518,Urokinase,Magnesium salicylate
5519,Ziprasidone,Tranylcypromine
5520,Palbociclib,Eslicarbazepine acetate
5521,Hydroflumethiazide,Dihydrocodeine
5522,Tipranavir,Ledipasvir
5523,Pramipexole,Chlordiazepoxide
5524,Atracurium besylate,Physostigmine
5525,Leuprolide,Repaglinide
5526,Phentermine,Ethoxzolamide
5527,Brompheniramine,Cathinone
5528,Mycophenolic acid,Cloxacillin
5529,Ethinylestradiol,Alogliptin
5530,Treprostinil,Nifedipine
5531,Perindopril,Primidone
5532,Pravastatin,Fenofibrate
5533,Indinavir,Insulin detemir
5534,Digoxin,Chloroquine
5535,Propranolol,Rizatriptan
5536,Dyphylline,Metamfetamine
5537,Triprolidine,Hydroxyzine
5538,Methylphenidate,Mecamylamine
5539,Lisinopril,Aprotinin
5540,Topiramate,Atropine
5541,Amitriptyline,Gliclazide
5542,Magnesium sulfate,Alfentanil
5543,Nortriptyline,Phenelzine
5544,Primidone,Afatinib
5545,Methylprednisolone,Corticorelin ovine triflutate
5546,Solifenacin,Ramosetron
5547,Alteplase,Warfarin
5548,Midodrine,Terazosin
5549,Framycetin,Atracurium besylate
5550,Duloxetine,Dalteparin
5551,Acebutolol,Propylhexedrine
5552,Efavirenz,Clevidipine
5553,Digoxin,Bumetanide
5554,Thioridazine,Pramlintide
5555,Paroxetine,Quazepam
5556,Sevelamer,Ofloxacin
5557,Botulinum toxin type A,Trimethobenzamide
5558,Cefotaxime,Probenecid
5559,Amobarbital,Ulipristal
5560,Mifepristone,Bosutinib
5561,Fluconazole,Sulfadiazine
5562,Fluticasone propionate,Formoterol
5563,Atenolol,Obinutuzumab
5564,Salmeterol,Naphazoline
5565,Flurazepam,Hydrocodone
5566,Theophylline,Abiraterone
5567,Carisoprodol,Orphenadrine
5568,Phenylephrine,Lisdexamfetamine
5569,Tolmetin,Phenprocoumon
5570,Tinzaparin,Vorapaxar
5571,Atazanavir,Dutasteride
5572,Methotrimeprazine,Paraldehyde
5573,Loxapine,Ergotamine
5574,Ergoloid mesylate,Thiothixene
5575,Cetirizine,Perampanel
5576,Eszopiclone,Tapentadol
5577,Triamterene,Eprosartan
5578,Chlorpromazine,Umeclidinium
5579,Pantoprazole,Ketoconazole
5580,Nadolol,Neostigmine
5581,Zolpidem,Levorphanol
5582,Amikacin,Cefuroxime
5583,Tamoxifen,Terbinafine
5584,Valsartan,Heptabarbital
5585,Theophylline,Phenylpropanolamine
5586,Torasemide,Vecuronium
5587,Verapamil,Ondansetron
5588,Amiodarone,Nadolol
5589,Ipratropium,Trimethobenzamide
5590,Acenocoumarol,Floctafenine
5591,Goserelin,Mifepristone
5592,Amikacin,Bacampicillin
5593,Nateglinide,Siltuximab
5594,Mefenamic acid,Probenecid
5595,Mifepristone,Dronedarone
5596,Alfuzosin,Bumetanide
5597,Prilocaine,Benzocaine
5598,Rosuvastatin,Raltegravir
5599,Dicoumarol,Indomethacin
5600,Dapsone,Nitrous acid
5601,Clopidogrel,Flunarizine
5602,Lorazepam,Methsuximide
5603,Insulin human,Gliclazide
5604,Cholecalciferol,Aminophylline
5605,Clozapine,Lithium cation
5606,Colesevelam,Ezetimibe
5607,Corticotropin,Linagliptin
5608,Anistreplase,Desvenlafaxine
5609,Gliclazide,Nilotinib
5610,Dalteparin,Vortioxetine
5611,Brimonidine,Bisoprolol
5612,Verapamil,Ivabradine
5613,Bexarotene,Vilazodone
5614,Clonazepam,Paraldehyde
5615,Leuprolide,Promethazine
5616,Chlorpromazine,Nefazodone
5617,Goserelin,Clarithromycin
5618,Secobarbital,Propacetamol
5619,gamma-Hydroxybutyric acid,Tofisopam
5620,Trazodone,Thiothixene
5621,Triflupromazine,Metoclopramide
5622,Flurazepam,Sodium oxybate
5623,Atomoxetine,Arformoterol
5624,Octreotide,Eliglustat
5625,Trandolapril,Sodium aurothiomalate
5626,Carboplatin,Denosumab
5627,Mianserin,Butylscopolamine
5628,Voriconazole,Tadalafil
5629,Methohexital,Apraclonidine
5630,Dihydroergotamine,Netupitant
5631,Anagrelide,Pentosan polysulfate
5632,Nisoldipine,Silodosin
5633,Dofetilide,Delavirdine
5634,Estradiol,Anastrozole
5635,Eprosartan,Butobarbital
5636,Fentanyl,Fosaprepitant
5637,Tranylcypromine,Pioglitazone
5638,Erythromycin,Dronabinol
5639,Dronabinol,Propantheline
5640,Paclitaxel,Roflumilast
5641,Mecamylamine,Tolazamide
5642,Sulpiride,Benzphetamine
5643,Estramustine,Calcium citrate
5644,Teniposide,Tofacitinib
5645,Piroxicam,Limaprost
5646,Trospium,Umeclidinium
5647,Voriconazole,Fosamprenavir
5648,Calcitriol,Nelfinavir
5649,Fosaprepitant,Crizotinib
5650,Secobarbital,Acenocoumarol
5651,Clobetasol propionate,Deferasirox
5652,Captopril,Magnesium hydroxide
5653,Methoxamine,Lisdexamfetamine
5654,Orciprenaline,Etacrynic acid
5655,Voriconazole,Cabazitaxel
5656,Olanzapine,Clonazepam
5657,Acetylsalicylic acid,Ibuprofen
5658,Ritonavir,Primaquine
5659,Nilotinib,Suvorexant
5660,Nifedipine,Palbociclib
5661,Pentobarbital,Prenylamine
5662,Zoledronic acid,Esomeprazole
5663,Trimethoprim,Mitotane
5664,Neomycin,Azlocillin
5665,Alemtuzumab,Leflunomide
5666,Probenecid,Cloxacillin
5667,Rifaximin,Ivacaftor
5668,Botulinum toxin type A,Oxybutynin
